Area,Mean,Min,Max,Angle,Length,Inverse,Average Inverse,Alpha Thickness
0.167,236.671,0,255,180,3.366,0.297088532,,
0.105,235.977,4,255,180,2.098,0.476644423,,
0.195,252.378,172,255,180,3.951,0.253100481,,
0.2,251.345,72,255,180,4.049,0.246974562,,
0.043,204.944,0,255,180,0.829,1.206272618,,
0.04,198.706,6,255,180,0.78,1.282051282,,
0.181,243.921,12,255,180,3.659,0.273298715,,
0.109,248.13,58,255,180,2.195,0.455580866,,
0.281,245.212,20,255,0,5.707,0.17522341,,
0.045,204.789,10,255,180,0.878,1.138952164,,
0.021,218.333,92,255,180,0.39,2.564102564,,
0.126,251.189,158,255,0,2.537,0.394166338,,
0.109,241.848,47,255,180,2.195,0.455580866,,
0.029,167.083,3,255,180,0.537,1.862197393,,
0.443,254.64,228,255,180,9.024,0.110815603,,
0.007,209.333,146,252,-153.435,0.109,9.174311927,,
0.052,211.227,51,255,0,1.024,0.9765625,,
0.071,241.433,53,255,180,1.415,0.706713781,,
0.057,218.292,22,255,180,1.122,0.891265597,,
0.024,205.6,16,255,180,0.439,2.277904328,,
0.067,239.786,86,255,180,1.317,0.759301443,,
0.164,239.13,1,255,180,3.317,0.301477238,,
0.109,242.5,52,255,180,2.195,0.455580866,,
0.164,249.913,89,255,0,3.317,0.301477238,,
0.088,152.757,9,255,180,1.756,0.569476082,,
0.024,227.7,115,255,180,0.439,2.277904328,,
0.017,140.571,8,253,0,0.293,3.412969283,,
0.062,224.115,27,255,180,1.22,0.819672131,,
0.029,205.333,43,255,180,0.537,1.862197393,,
0.029,186.833,13,255,180,0.537,1.862197393,,
0.036,230.6,59,255,180,0.683,1.464128843,,
0.043,213,46,255,180,0.829,1.206272618,,
0.055,237.957,70,255,180,1.073,0.931966449,,
0.04,237.176,123,255,180,0.78,1.282051282,,
0.121,249.824,95,255,180,2.439,0.4100041,,
0.026,241.636,167,255,180,0.488,2.049180328,,
0.019,198.125,43,255,180,0.341,2.93255132,,
0.064,248,117,255,180,1.268,0.788643533,,
0.052,221.227,9,255,180,1.024,0.9765625,,
0.01,23.75,0,48,180,0.146,6.849315068,,
0.09,227.237,8,255,180,1.805,0.55401662,,
0.029,241.667,207,255,180,0.537,1.862197393,,
0.021,201.639,53,255,172.875,0.393,2.544529262,,
0.031,237.923,133,255,180,0.585,1.709401709,,
0.055,227.478,1,255,180,1.073,0.931966449,,
0.024,170.8,21,255,180,0.439,2.277904328,,
0.117,247.51,56,255,180,2.341,0.427167877,,
0.048,220,42,255,180,0.927,1.078748652,,
0.069,228.655,21,255,180,1.366,0.732064422,,
0.1,231.786,79,255,180,2,0.5,,
0.045,249.158,205,255,180,0.878,1.138952164,,
0.274,251.278,55,255,180,5.561,0.179823773,,
0.071,253.767,219,255,180,1.415,0.706713781,,
0.033,186.143,2,255,180,0.634,1.577287066,,
0.079,231.394,26,255,180,1.561,0.64061499,,
0.059,215.08,0,255,180,1.171,0.853970965,,
0.083,246.743,59,255,180,1.659,0.602772755,,
0.245,253.233,137,255,180,4.976,0.20096463,,
