 ,Area,Mean,Min,Max,Angle,Length
67,0.024,218.700,97,255,180,0.439
68,0.033,136.714,3,255,180,0.634
69,0.040,237.118,77,255,180,0.780
70,0.119,238.340,12,255,180,2.390
71,0.059,248.240,168,255,180,1.171
72,0.138,238.793,4,255,180,2.780
73,0.081,210.118,2,255,180,1.610
74,0.017,178.000,46,250,0,0.293
75,0.043,211.944,0,255,180,0.829
76,0.088,248.811,157,255,180,1.756
77,0.069,210.000,3,255,180,1.366
78,0.050,180.000,0,255,180,0.976
79,0.243,239.069,4,255,180,4.927
80,0.079,238.273,72,255,180,1.561
81,0.069,227.172,28,255,0,1.366
82,0.133,251.696,129,255,0,2.683
83,0.119,237.920,0,255,180,2.390
84,0.086,232.278,7,255,180,1.707
85,0.071,237.800,96,255,180,1.415
86,0.093,252.385,209,255,180,1.854
87,0.100,241.881,25,255,180,2.000
88,0.050,163.048,13,255,180,0.976
89,0.050,240.000,96,255,180,0.976
90,0.171,249.903,115,255,180,3.463
91,0.190,247.162,64,255,180,3.854
92,0.040,252.824,223,255,180,0.780
93,0.095,242.150,64,255,180,1.902
94,0.214,250.478,112,255,180,4.341
95,0.128,244.241,30,255,180,2.585
96,0.083,216.571,11,255,180,1.659
97,0.105,210.159,1,255,180,2.098
98,0.083,220.514,21,255,180,1.659
99,0.002,111.000,111,111,0,0.000
100,0.024,168.900,60,249,180,0.439
101,0.083,217.000,92,255,0,1.659
102,0.069,195.517,85,255,180,1.366
103,0.038,229.375,137,255,180,0.732
104,0.145,241.311,10,255,180,2.927
105,0.171,246.181,67,255,180,3.463
106,0.128,217.963,11,255,180,2.585
